Per Capita Crime,Durham,North Yorkshire,South Yorkshire,GreaterManchester,Cheshire,Lancashire,Derbyshire,Leicestershire,Lincolnshire,Warwickshire,West Midlands,Essex,Hertfordshire,Suffolk,Metropolitan and City,Thames Valley,Hampshire,Kent,Gloucestershire,Dorset,,,,,
Oct-14,3.356222773,3.015239018,4.70104237,5.686700343,5.488027249,6.998887833,1.540407078,1.253590642,4.287690492,5.556286646,4.342424415,3.287295971,3.697429739,3.845562221,4.172755513,2.952649567,3.62453746,5.075654442,3.963221306,6.3561746,,,,,
Nov-14,1.879484753,3.417270887,4.12774452,3.98069024,5.310994112,8.748609791,2.127228822,2.77580785,2.933682968,4.678978228,2.763360991,2.922040863,3.560487896,2.714514509,4.224271013,3.288177927,2.553651392,4.713107696,2.377932784,8.89864444,,,,,
Dec-14,3.758969505,5.226414298,6.42093592,4.663094282,3.717695878,6.998887833,0.953585334,0.895421887,3.159350889,8.480648038,4.849980515,3.561237302,4.108255265,3.845562221,3.45153851,3.086860911,2.306523838,3.08164734,5.548509829,2.966214813,,,,,
Jan-15,2.95347604,1.608127476,3.66910624,4.719961285,4.779894701,7.983106434,1.46705436,1.880385963,4.513358413,2.924361393,5.357536616,4.017806187,2.601895001,2.488304967,3.915178012,1.946064487,2.388899689,3.353557399,3.170577045,4.237449733,,,,,
Feb-15,2.147982574,4.42235056,5.61831893,5.62983334,5.488027249,6.998887833,1.393701642,1.969928151,2.482347127,2.047052975,4.45521466,3.835178633,2.875778686,2.035885882,4.773769681,2.684226879,3.377409906,3.534830772,3.699006553,2.54246984,,,,,
Mar-15,4.564462971,4.623366494,6.53559549,5.174897312,5.842093523,8.311179302,2.860756002,2.954892227,2.933682968,2.631925253,4.737190271,4.109119963,2.875778686,3.619352679,3.709116011,3.153966583,3.377409906,6.16329468,7.133798351,5.932429627,,,,,
Apr-15,3.624720594,2.412191214,3.09580839,5.743567347,4.425828427,4.921093008,0.953585334,1.969928151,4.513358413,2.924361393,3.270917092,2.556785755,1.23247658,0.90483817,3.537397677,2.281592847,2.306523838,2.265917162,2.906362291,6.3561746,,,,,
May-15,2.013733664,4.623366494,3.66910624,3.63948822,5.488027249,5.577238742,0.806879898,1.790843774,3.61068673,3.509233671,3.496497581,1.095765324,3.423546054,1.131047712,3.588913177,1.744747471,2.059396284,3.625467459,4.22743606,5.08493968,,,,,
Jun-15,4.698711882,3.216254953,6.07695721,4.719961285,2.478463919,5.46788112,2.053876104,1.34313283,2.708015048,2.631925253,5.301141494,2.10021687,3.971313423,2.035885882,3.898006178,2.751332551,2.306523838,4.531834323,2.377932784,8.89864444,,,,,
Jul-15,2.550729307,3.819302756,4.35706366,4.151291251,4.602861564,6.561457343,2.053876104,0.537253132,4.513358413,1.462180696,4.22963417,3.378609748,3.834371581,2.262095424,4.481848514,1.744747471,3.377409906,5.256927815,2.906362291,4.237449733,,,,,
Aug-15,2.416480396,3.015239018,6.8795742,3.013951182,3.894729015,6.014669231,1.246996206,2.507181284,3.61068673,1.462180696,4.173239048,1.278392878,2.328011317,1.583466797,2.936383509,2.818438223,3.954040865,3.172284026,1.585288523,3.389959787,,,,,
